publisher_domain,publisher_category,ssp_domain,seller_id,relationship,verified_legal_entity
cnn.com,News & Media,rubiconproject.com,11864,RESELLER,"Kargo Global, Inc."
cnn.com,News & Media,contextweb.com,562001,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,telaria.com,r5rfy-ezca7,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,tremorhub.com,r5rfy-ezca7,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,telaria.com,r5rfy-acutr,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,tremorhub.com,r5rfy-acutr,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotxchange.com,212562,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotx.tv,212562,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,amxrtb.com,105199716,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,lijit.com,260380,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,161527,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,adform.com,2865,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,smartadserver.com,3056,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,undertone.com,4159,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,537153564,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,rubiconproject.com,22412,RESELLER,Intercept Interactive Inc. D.B.A Undertone
cnn.com,News & Media,pubmatic.com,160318,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,yahoo.com,59262,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,indexexchange.com,197137,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,onetag.com,7e41763fae9f91e,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,onetag.com,7e41763fae9f91e-OB,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,freewheel.tv,505334,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,telaria.com,r5rfy-irhqt,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,tremorhub.com,r5rfy-irhqt,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,telaria.com,r5rfy-oas58,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,tremorhub.com,r5rfy-oas58,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,163542,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,163347,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,sonobi.com,e20b1679ef,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,media.net,8CUW4YZSU,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,video.unrulymedia.com,611309574,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,telaria.com,r5rfy-oas58,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,tremorhub.com,r5rfy-oas58,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,media.net,8CUTGDN33,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,rubiconproject.com,20986,RESELLER,Wunderkind Corporation
cnn.com,News & Media,aps.amazon.com,4e8fb3b2-1c6c-42d6-890c-e5a6718315a3,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,google.com,pub-8674886994828280,DIRECT,Unlisted / Unknown ID
cnn.com,News & Media,google.com,pub-2561470205289901,RESELLER,Readwhere Digital DMCC
cnn.com,News & Media,xandr.com,13514,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,nextovp.com,8630279597,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,beachfront.com,15144,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,supply.colossusssp.com,605,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,appnexus.com,10490,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,559553248,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,rubiconproject.com,17046,RESELLER,"BOW- Business On Web, LLC"
cnn.com,News & Media,pubmatic.com,158370,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,557894883,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,appnexus.com,8458,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,pubmatic.com,163198,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,decide.co,13963089137851648,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,google.com,pub-5405132603504384,RESELLER,"Vox Media, Inc."
cnn.com,News & Media,concert.io,cbs-3477f8f730,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,smaato.com,1100048704,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,smartadserver.com,3820,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,sharethrough.com,c21oBkqP,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,video.unrulymedia.com,367782854,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,improvedigital.com,1863,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,contextweb.com,562709,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,media.net,8CU33YS38,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,beachfront.com,14027,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,media.net,8CUVSKR7T,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,telaria.com,m8r1c-2u262,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,tremorhub.com,m8r1c-2u262,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,triplelift.com,5754-EB,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,triplelift.com,11244-EB,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,nativo.com,5711,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,rubiconproject.com,24968,RESELLER,DistroScale
cnn.com,News & Media,rubiconproject.com,19396,RESELLER,Media.net Advertising FZ-LLC
cnn.com,News & Media,pubmatic.com,162210,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,sovrn.com,342618,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,freewheel.tv,sg1243097,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,freewheel.tv,sg1243097-523319,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,hcodemedia.com,543,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,542291481,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,conversantmedia.com,100900,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,sharethrough.com,tQiJV7fJ,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,537153334,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,gumgum.com,16057,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,appnexus.com,15701,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,indexexchange.com,215031,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,aps.amazon.com,e5a6f2d1-7642-4cc5-a917-96dbe8c3ed8f,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,smartadserver.com,5847,RESELLER,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,561711183,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,openx.com,561827512,DIRECT,Not Tracked (Non-Top 3 SSP)
cnn.com,News & Media,spotim.market,pub_mM0DBXIIardI,DIRECT,Not Tracked (Non-Top 3 SSP)
