publisher_domain,ssp_domain,seller_id,relationship,verified_legal_entity
moneycontrol.com,google.com,pub-2930805104418204,RESELLER,Yediot Internet
moneycontrol.com,google.com,pub-4903453974745530,RESELLER,Medmob
moneycontrol.com,google.com,pub-4836542095728076,RESELLER,Medmob
moneycontrol.com,datawrkz.com,2218,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,datawrkz.com,2394,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,google.com,pub-6645287046856849,DIRECT,Unlisted / Unknown ID
moneycontrol.com,kueez.com,204794845b2574bb9d18fb5f94c9ec85,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,appnexus.com,8826,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,16920,RESELLER,Kueez Entertainment Ltd
moneycontrol.com,openx.com,557564833,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,lijit.com,407406,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,media.net,8cu4jtrf9,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,162110,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,streamlyn.com,bsrvptr20360,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,kickads.mobi,62,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,27408,DIRECT,Zero1 Inc (DBA VDO.AI)
moneycontrol.com,aps.amazon.com,b3d50ad3-eca1-4091-be72-de4a8bc67a3d,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,emxdgt.com,1336,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,districtm.io,100428,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,jambojar.com,2024J1326,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,ads-mesh.com,adm-2024J1326,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,risecodes.com,670135d2e64cee0001b3f010,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,sharethrough.com,5926d422,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,pubmatic.com,160295,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,23876,RESELLER,Typea Holdings  LTD.
moneycontrol.com,xandr.com,14082,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,video.unrulymedia.com,612539011,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,15268,RESELLER,Unruly Group LTD
moneycontrol.com,pubmatic.com,159277,RESELLER,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,nextmillennium.io,16119,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,admagnetix.io,201119,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,gannett.com,23033711203,DIRECT,Not Tracked (Non-Top 3 SSP)
moneycontrol.com,rubiconproject.com,17888,RESELLER,Unlisted / Unknown ID
moneycontrol.com,rubiconproject.com,26296,RESELLER,Unlisted / Unknown ID
moneycontrol.com,pubmatic.com,157577,DIRECT,Not Tracked (Non-Top 3 SSP)
